ID	Type	Parent	Label	Definition	Synonym	EthnicGroup	Superpopulation	CountryOfOrigin
HANCESTRO:0679	class	reference population	Piapoco in Colombia (SGDP)	A population made up of 2 samples from Piapoco individuals recruited in Colombia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.		Piapoco	Latin or Admixed American|Indigenous American	Colombia
HANCESTRO:0680	class	reference population	Pima in Mexico (SGDP)	A population made up of 2 samples from Pima individuals recruited in Mexico as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.		"""Akimel O'odham"""	Latin or Admixed American|Indigenous American	Mexico
HANCESTRO:0681	class	reference population	Quechua in Peru (SGDP)	A population made up of 3 samples from Quechua individuals recruited in Peru as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.		Quechua	Latin or Admixed American|Indigenous American	Peru
HANCESTRO:0682	class	reference population	Surui in Brazil (SGDP)	A population made up of 2 samples from Surui individuals recruited in Brazil as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.			Latin or Admixed American|Indigenous American	Brazil
HANCESTRO:0683	class	reference population	Zapotec in Mexico (SGDP)	A population made up of 2 samples from Zapotec individuals recruited in Mexico as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.		Zapoteco	Latin or Admixed American|Indigenous American	Mexico
HANCESTRO:0684	class	reference population	"Colombian in Medellin, Colombia"	"A population made up of 148 samples from Colombian individuals recruited in Medellin, Colombia as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American. "	CLM	Colombian	Latin or Admixed American	Colombia
HANCESTRO:0685	class	reference population	"Mexican Ancestry in Los Angeles, California"	"A population made up of 107 samples from Mexican Ancestry individuals recruited in Los Angeles, California as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American. "	MXL	Mexican	Latin or Admixed American	United States
HANCESTRO:0686	class	reference population	"Peruvian in Lima, Peru"	"A population made up of 130 samples from Peruvian individuals recruited in Lima, Peru as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American. "	PEL	Peruvian	Latin or Admixed American	Peru
HANCESTRO:0687	class	reference population	Puerto Rican in Puerto Rico	A population made up of 150 samples from Puerto Rican individuals recruited in Puerto Rico as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American. 	PUR	Puerto Rican	Latin or Admixed American	Puerto Rico
HANCESTRO:0688	class	reference population	Aleut in Russia (SGDP)	A population made up of 2 samples from Aleut individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0689	class	reference population	Altaian in Russia (SGDP)	A population made up of 1 samples from Altaian individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0690	class	reference population	Chukchi in Russia (SGDP)	A population made up of 1 samples from Chukchi individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0691	class	reference population	Eskimo Chaplin in Russia (SGDP)	A population made up of 1 samples from Eskimo Chaplin individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0692	class	reference population	Eskimo Naukan in Russia (SGDP)	A population made up of 2 samples from Eskimo Naukan individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0693	class	reference population	Eskimo Sireniki in Russia (SGDP)	A population made up of 2 samples from Eskimo Sireniki individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0694	class	reference population	Even in Russia (SGDP)	A population made up of 3 samples from Even individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0695	class	reference population	Itelman in Russia (SGDP)	A population made up of 1 samples from Itelman individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0696	class	reference population	Kyrgyz in Kyrgyzystan (SGDP)	A population made up of 2 samples from Kyrgyz individuals recruited in Kyrgyzystan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Kyrgyzstan
HANCESTRO:0697	class	reference population	Mansi in Russia (SGDP)	A population made up of 2 samples from Mansi individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0698	class	reference population	Mongola in China (SGDP)	A population made up of 2 samples from Mongola individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				China
HANCESTRO:0699	class	reference population	Tlingit in Russia (SGDP)	A population made up of 2 samples from Tlingit individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0700	class	reference population	Tubalar in Russia (SGDP)	A population made up of 2 samples from Tubalar individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0701	class	reference population	Ulchi in Russia (SGDP)	A population made up of 2 samples from Ulchi individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0702	class	reference population	Yakut in Russia (SGDP)	A population made up of 2 samples from Yakut individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central Asian and Siberian.				Russia
HANCESTRO:0703	class	reference population	Balochi in Pakistan (HGDP)	A population made up of 22 samples from Balochi individuals recruited in Pakistan as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central South Asian.			South Asian	Pakistan
HANCESTRO:0704	class	reference population	Brahui in Pakistan (HGDP)	A population made up of 23 samples from Brahui individuals recruited in Pakistan as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central South Asian.			South Asian	Pakistan
HANCESTRO:0705	class	reference population	Burusho in Pakistan (HGDP)	A population made up of 22 samples from Burusho individuals recruited in Pakistan as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central South Asian.			South Asian	Pakistan
HANCESTRO:0706	class	reference population	Hazara in Pakistan (HGDP)	A population made up of 18 samples from Hazara individuals recruited in Pakistan as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central South Asian.			South Asian	Pakistan
HANCESTRO:0707	class	reference population	Kalash in Pakistan (HGDP)	A population made up of 21 samples from Kalash individuals recruited in Pakistan as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central South Asian.			South Asian	Pakistan
HANCESTRO:0708	class	reference population	Makrani in Pakistan (HGDP)	A population made up of 23 samples from Makrani individuals recruited in Pakistan as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central South Asian.			South Asian	Pakistan
HANCESTRO:0709	class	reference population	Pathan in Pakistan (HGDP)	A population made up of 23 samples from Pathan individuals recruited in Pakistan as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central South Asian. 			South Asian	Pakistan
HANCESTRO:0710	class	reference population	Sindhi in Pakistan (HGDP)	A population made up of 22 samples from Sindhi individuals recruited in Pakistan as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central South Asian.			South Asian	Pakistan
HANCESTRO:0711	class	reference population	Uygur in China (HGDP)	A population made up of 8 samples from Uygur individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central South Asian.		Uygur	South Asian|East Asian	China
HANCESTRO:0712	class	reference population	Cambodian in Cambodia (HGDP)	A population made up of 9 samples from Cambodian individuals recruited in Cambodia as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian. 		Cambodian	East Asian|South East Asian	Cambodia
HANCESTRO:0713	class	reference population	Dai in China (HGDP)	A population made up of 5 samples from Dai individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Dai	East Asian	China
HANCESTRO:0714	class	reference population	Daur in China (HGDP)	A population made up of 9 samples from Daur individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0715	class	reference population	Han in China (HGDP)	A population made up of 30 samples from Han individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Han Chinese	East Asian	China
HANCESTRO:0716	class	reference population	Hezhen in China (HGDP)	A population made up of 7 samples from Hezhen individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0717	class	reference population	Japanese in Japan (HGDP)	A population made up of 27 samples from Japanese individuals recruited in Japan as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Japanese	East Asian	Japan
HANCESTRO:0718	class	reference population	Lahu in China (HGDP)	A population made up of 6 samples from Lahu individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0719	class	reference population	Miao in China (HGDP)	A population made up of 8 samples from Miao individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0720	class	reference population	Mongolian in China (HGDP)	A population made up of 8 samples from Mongolian individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Mongolian	East Asian	China
HANCESTRO:0721	class	reference population	Naxi in China (HGDP)	A population made up of 6 samples from Naxi individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0722	class	reference population	Northern Han in China (HGDP)	A population made up of 10 samples from Northern Han individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Han Chinese	East Asian	China
HANCESTRO:0723	class	reference population	Oroqen in China (HGDP)	A population made up of 7 samples from Oroqen individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0724	class	reference population	She in China (HGDP)	A population made up of 8 samples from She individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0725	class	reference population	Tu in China (HGDP)	A population made up of 8 samples from Tu individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0726	class	reference population	Tujia in China (HGDP)	A population made up of 8 samples from Tujia individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0727	class	reference population	Xibo in China (HGDP)	A population made up of 7 samples from Xibo individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0728	class	reference population	Yakut in Siberia (HGDP)	A population made up of 23 samples from Yakut individuals recruited in Siberia as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian. 			East Asian	Russia
HANCESTRO:0729	class	reference population	Yi in China (HGDP)	A population made up of 8 samples from Yi individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0730	class	reference population	Ami in Taiwan (SGDP)	A population made up of 2 samples from Ami individuals recruited in Taiwan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	Taiwan
HANCESTRO:0731	class	reference population	Atayal in Taiwan (SGDP)	A population made up of 1 samples from Atayal individuals recruited in Taiwan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	Taiwan
HANCESTRO:0732	class	reference population	Burmese in Myanmar (SGDP)	A population made up of 2 samples from Burmese individuals recruited in Myanmar as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Burmese	East Asian|South East Asian	Myanmar
HANCESTRO:0733	class	reference population	Cambodian in Cambodia (SGDP)	A population made up of 2 samples from Cambodian individuals recruited in Cambodia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Cambodian	East Asian|South East Asian	Cambodia
HANCESTRO:0734	class	reference population	Dai in China (SGDP)	A population made up of 4 samples from Dai individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Dai	East Asian	China
HANCESTRO:0735	class	reference population	Daur in China (SGDP)	A population made up of 1 samples from Daur individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0736	class	reference population	Han in China (SGDP)	A population made up of 3 samples from Han individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Han Chinese	East Asian	China
HANCESTRO:0737	class	reference population	Hezhen in China (SGDP)	A population made up of 2 samples from Hezhen individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0738	class	reference population	Japanese in Japan (SGDP)	A population made up of 3 samples from Japanese individuals recruited in Japan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Japanese	East Asian	Japan
HANCESTRO:0739	class	reference population	Kinh in Vietnam (SGDP)	A population made up of 2 samples from Kinh individuals recruited in Vietnam as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian|South East Asian	Vietnam
HANCESTRO:0740	class	reference population	Korean in Korea (SGDP)	A population made up of 2 samples from Korean individuals recruited in Korea as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Korean	East Asian	South Korea
HANCESTRO:0741	class	reference population	Lahu in China (SGDP)	A population made up of 2 samples from Lahu individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0742	class	reference population	Miao in China (SGDP)	A population made up of 2 samples from Miao individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0743	class	reference population	Naxi in China (SGDP)	A population made up of 3 samples from Naxi individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0744	class	reference population	Oroqen in China (SGDP)	A population made up of 2 samples from Oroqen individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0745	class	reference population	She in China (SGDP)	A population made up of 2 samples from She individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0746	class	reference population	Thai in Thailand (SGDP)	A population made up of 2 samples from Thai individuals recruited in Thailand as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Thai	East Asian|South East Asian	Thailand
HANCESTRO:0747	class	reference population	Tu in China (SGDP)	A population made up of 2 samples from Tu individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0748	class	reference population	Tujia in China (SGDP)	A population made up of 2 samples from Tujia individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0749	class	reference population	Uygur in China (SGDP)	A population made up of 2 samples from Uygur individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.		Uygur	East Asian	China
