?cls	?xref
<http://dbpedia.org/resource/Cook_Islands>	"GAZ:00053798"
<http://dbpedia.org/resource/Sudan>	"GAZ:00000560"
<http://dbpedia.org/resource/Maldives>	"GAZ:00006896"
<http://dbpedia.org/resource/Malawi>	"GAZ:00001105"
<http://dbpedia.org/resource/Wallis_and_Futuna>	"GAZ:00007191"
<http://dbpedia.org/resource/China>	"GAZ:00002845"
<http://dbpedia.org/resource/Republic_of_the_Congo>	"GAZ:00001088"
<http://dbpedia.org/resource/Democratic_Republic_of_the_Congo>	"GAZ:00001086"
<http://dbpedia.org/resource/Cape_Verde>	"GAZ:00001227"
<http://dbpedia.org/resource/Afghanistan>	"GAZ:00006882"
<http://dbpedia.org/resource/Sweden>	"GAZ:00002729"
<http://dbpedia.org/resource/Vanuatu>	"GAZ:00006918"
<http://dbpedia.org/resource/Mayotte>	"GAZ:00003943"
<http://dbpedia.org/resource/South_Africa>	"GAZ:00000553"
<http://dbpedia.org/resource/Holy_See>	"GAZ:00003103"
<http://dbpedia.org/resource/Slovenia>	"GAZ:00002955"
<http://dbpedia.org/resource/Saint_Lucia>	"GAZ:00006909"
<http://dbpedia.org/resource/Luxembourg>	"GAZ:00002947"
<http://dbpedia.org/resource/Australia>	"GAZ:00000463"
<http://dbpedia.org/resource/Central_Africa>	"GAZ:00000588"
<http://dbpedia.org/resource/Angola>	"GAZ:00001095"
<http://dbpedia.org/resource/Cambodia>	"GAZ:00006888"
<http://dbpedia.org/resource/Dominican_Republic>	"GAZ:00003952"
<http://dbpedia.org/resource/Bahrain>	"GAZ:00005281"
<http://dbpedia.org/resource/Jordan>	"GAZ:00002473"
<http://dbpedia.org/resource/Colombia>	"GAZ:00002929"
<http://dbpedia.org/resource/Scotland>	"GAZ:00002639"
<http://dbpedia.org/resource/Lebanon>	"GAZ:00002478"
<http://dbpedia.org/resource/Algeria>	"GAZ:00000563"
<http://dbpedia.org/resource/Saint_Kitts_and_Nevis>	"GAZ:00006906"
<http://dbpedia.org/resource/Guatemala>	"GAZ:00002936"
<http://dbpedia.org/resource/Turks_and_Caicos_Islands>	"GAZ:00003955"
<http://dbpedia.org/resource/Senegal>	"GAZ:00000913"
<http://dbpedia.org/resource/New_Zealand>	"GAZ:00000469"
<http://dbpedia.org/resource/Niger>	"GAZ:00000585"
<http://dbpedia.org/resource/Puerto_Rico>	"GAZ:00006935"
<http://dbpedia.org/resource/United_States_Virgin_Islands>	"GAZ:00003959"
<http://dbpedia.org/resource/Bosnia_and_Herzegovina>	"GAZ:00006887"
<http://dbpedia.org/resource/Papua_New_Guinea>	"GAZ:00003922"
<http://dbpedia.org/resource/Isle_of_Man>	"GAZ:00052477"
<http://dbpedia.org/resource/Honduras>	"GAZ:00002894"
<http://dbpedia.org/resource/Italy>	"GAZ:00002650"
<http://dbpedia.org/resource/India>	"GAZ:00002839"
<http://dbpedia.org/resource/Slovakia>	"GAZ:00002956"
<http://dbpedia.org/resource/Mozambique>	"GAZ:00001100"
<http://dbpedia.org/resource/Yemen>	"GAZ:00005284"
<http://dbpedia.org/resource/Finland>	"GAZ:00002937"
<http://dbpedia.org/resource/Indonesia>	"GAZ:00003727"
<http://dbpedia.org/resource/Taiwan>	"GAZ:00005341"
<http://dbpedia.org/resource/Nauru>	"GAZ:00006900"
<http://dbpedia.org/resource/Tunisia>	"GAZ:00000562"
<http://dbpedia.org/resource/Réunion>	"GAZ:00053746"
<http://dbpedia.org/resource/Moldova>	"GAZ:00003897"
<http://dbpedia.org/resource/Ukraine>	"GAZ:00002724"
<http://dbpedia.org/resource/Bangladesh>	"GAZ:00003750"
<http://dbpedia.org/resource/Argentina>	"GAZ:00002928"
<http://dbpedia.org/resource/United_Arab_Emirates>	"GAZ:00005282"
<http://dbpedia.org/resource/Guyana>	"GAZ:00002522"
<http://dbpedia.org/resource/Singapore>	"GAZ:00003923"
<http://dbpedia.org/resource/Netherlands_Antilles>	"GAZ:00004019"
<http://dbpedia.org/resource/Poland>	"GAZ:00002939"
<http://dbpedia.org/resource/Northern_Mariana_Islands>	"GAZ:00003958"
<http://dbpedia.org/resource/Liechtenstein>	"GAZ:00003858"
<http://dbpedia.org/resource/Tajikistan>	"GAZ:00006912"
<http://dbpedia.org/resource/Kyrgyzstan>	"GAZ:00006893"
<http://dbpedia.org/resource/Spain>	"GAZ:00000591"
<http://dbpedia.org/resource/Ecuador>	"GAZ:00002912"
<http://dbpedia.org/resource/Chad>	"GAZ:00000586"
<http://dbpedia.org/resource/Qatar>	"GAZ:00005286"
<http://dbpedia.org/resource/Antigua_and_Barbuda>	"GAZ:00006883"
<http://dbpedia.org/resource/The_Gambia>	"GAZ:00000907"
<http://dbpedia.org/resource/Romania>	"GAZ:00002951"
<http://dbpedia.org/resource/Anguilla>	"GAZ:00009159"
<http://dbpedia.org/resource/British_Virgin_Islands>	"GAZ:00003961"
<http://dbpedia.org/resource/Nigeria>	"GAZ:00000912"
<http://dbpedia.org/resource/Kazakhstan>	"GAZ:00004999"
<http://dbpedia.org/resource/Kuwait>	"GAZ:00005285"
<http://dbpedia.org/resource/East_Timor>	"GAZ:00006913"
<http://dbpedia.org/resource/Bhutan>	"GAZ:00003920"
<http://dbpedia.org/resource/Western_Sahara>	"GAZ:00000564"
<http://dbpedia.org/resource/Kenya>	"GAZ:00001101"
<http://dbpedia.org/resource/Federated_States_of_Micronesia>	"GAZ:00006897"
<http://dbpedia.org/resource/Switzerland>	"GAZ:00002941"
<http://dbpedia.org/resource/Equatorial_Guinea>	"GAZ:00001091"
<http://dbpedia.org/resource/Libya>	"GAZ:00000566"
<http://dbpedia.org/resource/Faeroe_Islands>	"GAZ:00059206"
<http://dbpedia.org/resource/Portugal>	"GAZ:00002944"
<http://dbpedia.org/resource/Macau>	"GAZ:00003202"
<http://dbpedia.org/resource/Chile>	"GAZ:00002825"
<http://dbpedia.org/resource/Sint_Maarten>	"GAZ:00012579"
<http://dbpedia.org/resource/United_Kingdom>	"GAZ:00002637"
<http://dbpedia.org/resource/Brazil>	"GAZ:00002828"
<http://dbpedia.org/resource/Vietnam>	"GAZ:00003756"
<http://dbpedia.org/resource/Lesotho>	"GAZ:00001098"
<http://dbpedia.org/resource/Lithuania>	"GAZ:00002960"
<http://dbpedia.org/resource/Netherlands>	"GAZ:00001549"
<http://dbpedia.org/resource/Norway>	"GAZ:00002699"
<http://dbpedia.org/resource/Samoa>	"GAZ:00006910"
<http://dbpedia.org/resource/Central_African_Republic>	"GAZ:00001089"
<http://dbpedia.org/resource/Thailand>	"GAZ:00003744"
<http://dbpedia.org/resource/Cuba>	"GAZ:00003762"
<http://dbpedia.org/resource/United_States>	"GAZ:00002459"
<http://dbpedia.org/resource/Niue>	"GAZ:00006902"
<http://dbpedia.org/resource/Benin>	"GAZ:00000904"
<http://dbpedia.org/resource/Germany>	"GAZ:00002646"
<http://dbpedia.org/resource/Pitcairn_Islands>	"GAZ:00005867"
<http://dbpedia.org/resource/North_Korea>	"GAZ:00002801"
<http://dbpedia.org/resource/Uruguay>	"GAZ:00002930"
<http://dbpedia.org/resource/Panama>	"GAZ:00002892"
<http://dbpedia.org/resource/San_Marino>	"GAZ:00003102"
<http://dbpedia.org/resource/Philippines>	"GAZ:00004525"
<http://dbpedia.org/resource/Oman>	"GAZ:00005283"
<http://dbpedia.org/resource/Latvia>	"GAZ:00002958"
<http://dbpedia.org/resource/Belize>	"GAZ:00002934"
<http://dbpedia.org/resource/Cocos_(Keeling)_Islands>	"GAZ:00009721"
<http://dbpedia.org/resource/Iraq>	"GAZ:00004483"
<http://dbpedia.org/resource/Zambia>	"GAZ:00001107"
<http://dbpedia.org/resource/The_Bahamas>	"GAZ:00002733"
<http://dbpedia.org/resource/Nicaragua>	"GAZ:00002978"
<http://dbpedia.org/resource/Zimbabwe>	"GAZ:00001106"
<http://dbpedia.org/resource/Canada>	"GAZ:00002560"
<http://dbpedia.org/resource/Martinique>	"GAZ:00003947"
<http://dbpedia.org/resource/Grenada>	"GAZ:02000573"
<http://dbpedia.org/resource/Belgium>	"GAZ:00002938"
<http://dbpedia.org/resource/Burundi>	"GAZ:00001090"
<http://dbpedia.org/resource/Somalia>	"GAZ:00001104"
<http://dbpedia.org/resource/Brunei>	"GAZ:00003901"
<http://dbpedia.org/resource/Denmark>	"GAZ:00002635"
<http://dbpedia.org/resource/Guinea>	"GAZ:00000909"
<http://dbpedia.org/resource/Andorra>	"GAZ:00002948"
<http://dbpedia.org/resource/Croatia>	"GAZ:00002719"
<http://dbpedia.org/resource/Montserrat>	"GAZ:00003988"
<http://dbpedia.org/resource/Uganda>	"GAZ:00001102"
<http://dbpedia.org/resource/Nepal>	"GAZ:00004399"
<http://dbpedia.org/resource/Turkmenistan>	"GAZ:00005018"
<http://dbpedia.org/resource/Palestinian_territories>	"GAZ:00002475"
<http://dbpedia.org/resource/Aruba>	"GAZ:00004025"
<http://dbpedia.org/resource/New_Caledonia>	"GAZ:00005206"
<http://dbpedia.org/resource/Jamaica>	"GAZ:00003781"
<http://dbpedia.org/resource/Marshall_Islands>	"GAZ:00007161"
<http://dbpedia.org/resource/Madagascar>	"GAZ:00001108"
<http://dbpedia.org/resource/Cayman_Islands>	"GAZ:00003986"
<http://dbpedia.org/resource/Mauretania>	"GAZ:00000583"
<http://dbpedia.org/resource/Sri_Lanka>	"GAZ:00003924"
<http://dbpedia.org/resource/Hungary>	"GAZ:00002952"
<http://dbpedia.org/resource/Republic_of_Macedonia>	"GAZ:00006895"
<http://dbpedia.org/resource/Turkey>	"GAZ:00000558"
<http://dbpedia.org/resource/South_Korea>	"GAZ:00002802"
<http://dbpedia.org/resource/Sierra_Leone>	"GAZ:00000914"
<http://dbpedia.org/resource/French_Guiana>	"GAZ:00002516"
<http://dbpedia.org/resource/Hong_Kong>	"GAZ:00003203"
<http://dbpedia.org/resource/Azerbaijan>	"GAZ:00004941"
<http://dbpedia.org/resource/Djibouti>	"GAZ:00000582"
<http://dbpedia.org/resource/Mexico>	"GAZ:00002852"
<http://dbpedia.org/resource/Micronesia>	"GAZ:00005862"
<http://dbpedia.org/resource/South_Asia>	"GAZ:00002472"
<http://dbpedia.org/resource/Northern_America>	"GAZ:00000458"
<http://dbpedia.org/resource/Latin_America_and_the_Caribbean>	"GAZ:00000459"
<http://dbpedia.org/resource/Africa>	"GAZ:00000457"
<http://dbpedia.org/resource/Asia>	"GAZ:00000465"
<http://dbpedia.org/resource/South-Eastern_Asia>	"GAZ:00000559"
<http://dbpedia.org/resource/Polynesia>	"GAZ:00005861"
<http://dbpedia.org/resource/Eastern_Africa>	"GAZ:00000556"
<http://dbpedia.org/resource/Northern_Africa>	"GAZ:00000555"
<http://dbpedia.org/resource/Oceania>	"GAZ:00000468"
<http://dbpedia.org/resource/Europe>	"GAZ:00000464"
<http://dbpedia.org/resource/Eastern_Asia>	"GAZ:00002471"
<http://dbpedia.org/resource/SouthAmerica>	"GAZ:00000459"
<http://dbpedia.org/resource/Western_Africa>	"GAZ:00000554"
<http://dbpedia.org/resource/Central_America>	"GAZ:00002891"
<http://dbpedia.org/resource/Southern_Africa>	"GAZ:00000553"
<http://dbpedia.org/resource/Melanesia>	"GAZ:00005860"
