?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/HANCESTRO_0614>	<http://www.w3.org/2000/01/rdf-schema#label>	"Maya"@en	
<http://dbpedia.org/resource/Tuvalu>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tuvalu"@en	
<http://dbpedia.org/resource/Moldova>	<http://www.w3.org/2000/01/rdf-schema#label>	"Moldova"	
<http://purl.obolibrary.org/obo/HANCESTRO_0586>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bashkir"	
<http://purl.obolibrary.org/obo/HANCESTRO_0765>	<http://www.w3.org/2000/01/rdf-schema#label>	"British in England and Scotland (1KGP)"	
<http://dbpedia.org/resource/Russia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Russia"	
<http://purl.obolibrary.org/obo/HANCESTRO_0661>	<http://www.w3.org/2000/01/rdf-schema#label>	"Esan in Nigeria (1KGP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0712>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cambodian in Cambodia (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0669>	<http://www.w3.org/2000/01/rdf-schema#label>	"Colombian in Colombia (HGDP)"	
<http://urigen_local_uri/ae920f6d-eda5-40ab-8ec9-c5c08b7649af/Punjabi_Sikh>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete_Punjabi Sikh"	
<http://purl.obolibrary.org/obo/HANCESTRO_0430>	<http://www.w3.org/2000/01/rdf-schema#label>	"Venezuelan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0355>	<http://www.w3.org/2000/01/rdf-schema#label>	"Channel Islander"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0572>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kosraean"	
<http://dbpedia.org/resource/Canada>	<http://www.w3.org/2000/01/rdf-schema#label>	"Canada"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0795>	<http://www.w3.org/2000/01/rdf-schema#label>	"Madiga in India (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0341>	<http://www.w3.org/2000/01/rdf-schema#label>	"Afghan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0349>	<http://www.w3.org/2000/01/rdf-schema#label>	"Belgian"@en	
<http://dbpedia.org/resource/Liechtenstein>	<http://www.w3.org/2000/01/rdf-schema#label>	"Liechtenstein"@en	
<http://dbpedia.org/resource/Tunisia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tunisia"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0333>	<http://www.w3.org/2000/01/rdf-schema#label>	"Anguillan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0564>	<http://www.w3.org/2000/01/rdf-schema#label>	"Vis founder"	
<http://purl.obolibrary.org/obo/HANCESTRO_0781>	<http://www.w3.org/2000/01/rdf-schema#label>	"Igorot in Philippines (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0725>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tu in China (HGDP)"	
<http://dbpedia.org/resource/Jordan>	<http://www.w3.org/2000/01/rdf-schema#label>	"Jordan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0805>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sri Lankan Tamil in the UK (1KGP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0368>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hungarian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0585>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tatar"	
<http://purl.obolibrary.org/obo/HANCESTRO_0481>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tongan"@en	
<http://dbpedia.org/resource/Ivory_Coast>	<http://www.w3.org/2000/01/rdf-schema#label>	"Côte d'Ivoire"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0354>	<http://www.w3.org/2000/01/rdf-schema#label>	"Canadian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0690>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chukchi in Russia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0577>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dai"	
<http://purl.obolibrary.org/obo/HANCESTRO_0794>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kusunda in Nepal (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0628>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tupiniquim"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0346>	<http://www.w3.org/2000/01/rdf-schema#label>	"Australian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0733>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cambodian in Cambodia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0384>	<http://www.w3.org/2000/01/rdf-schema#label>	"Moldovan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0563>	<http://www.w3.org/2000/01/rdf-schema#label>	"South Tyrolean"	
<http://purl.obolibrary.org/obo/HANCESTRO_0370>	<http://www.w3.org/2000/01/rdf-schema#label>	"Manx"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0675>	<http://www.w3.org/2000/01/rdf-schema#label>	"Karitiana in Brazil (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0502>	<http://www.w3.org/2000/01/rdf-schema#label>	"Vietnamese"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0593>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Maasai"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0362>	<http://www.w3.org/2000/01/rdf-schema#label>	"Falkland Islander"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0444>	<http://www.w3.org/2000/01/rdf-schema#label>	"Libyan"@en	
<http://dbpedia.org/resource/Solomon_Islands>	<http://www.w3.org/2000/01/rdf-schema#label>	"Solomon Islands"@en	
<http://dbpedia.org/resource/Malaysia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Malaysia"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0688>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aleut in Russia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0842>	<http://www.w3.org/2000/01/rdf-schema#label>	"Turkish in Turkey (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0515>	<http://www.w3.org/2000/01/rdf-schema#label>	"Senegalese"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0746>	<http://www.w3.org/2000/01/rdf-schema#label>	"Thai in Thailand (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0383>	<http://www.w3.org/2000/01/rdf-schema#label>	"Irish"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0457>	<http://www.w3.org/2000/01/rdf-schema#label>	"Curacaoan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0812>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bedouin B in Israel(Negev) (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0611>	<http://www.w3.org/2000/01/rdf-schema#label>	"Indigenous in South America"	
<http://purl.obolibrary.org/obo/HANCESTRO_0375>	<http://www.w3.org/2000/01/rdf-schema#label>	"Maltese"@en	
<http://dbpedia.org/resource/Northern_Mariana_Islands>	<http://www.w3.org/2000/01/rdf-schema#label>	"Northern Mariana Islands"	
<http://purl.obolibrary.org/obo/HANCESTRO_0592>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Luhya"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0641>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bantu Kenya in Kenya (SGDP)"	
<http://dbpedia.org/resource/Zambia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zambia"@en	
<http://dbpedia.org/resource/Sri_Lanka>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sri Lanka"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0649>	<http://www.w3.org/2000/01/rdf-schema#label>	"Luhya in Kenya (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0361>	<http://www.w3.org/2000/01/rdf-schema#label>	"Faroese"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0866>	<http://www.w3.org/2000/01/rdf-schema#label>	"Welsh"	
<http://dbpedia.org/resource/El_Salvador>	<http://www.w3.org/2000/01/rdf-schema#label>	"El Salvador"@en	
<http://dbpedia.org/resource/India>	<http://www.w3.org/2000/01/rdf-schema#label>	"India"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0635>	<http://www.w3.org/2000/01/rdf-schema#label>	"Biaka in Central African Republic (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0487>	<http://www.w3.org/2000/01/rdf-schema#label>	"Indian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0850>	<http://www.w3.org/2000/01/rdf-schema#label>	"Southeast Asian"	
<http://dbpedia.org/resource/Portugal>	<http://www.w3.org/2000/01/rdf-schema#label>	"Portugal"@en	
<http://dbpedia.org/resource/Lebanon>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lebanon"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0014>	<http://www.w3.org/2000/01/rdf-schema#label>	"Latin or Admixed American"	
<http://purl.obolibrary.org/obo/HANCESTRO_0473>	<http://www.w3.org/2000/01/rdf-schema#label>	"New Caledonian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0391>	<http://www.w3.org/2000/01/rdf-schema#label>	"Slovene"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0696>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kyrgyz in Kyrgyzystan (SGDP)"	
<http://dbpedia.org/resource/Australia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Australia"@en	
<http://dbpedia.org/resource/Bermuda>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bermuda"@en	
<http://dbpedia.org/resource/Burkina_Faso>	<http://www.w3.org/2000/01/rdf-schema#label>	"Burkina Faso"@en	
<http://dbpedia.org/resource/Serbia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Serbia"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0008>	<http://www.w3.org/2000/01/rdf-schema#label>	"Asian ancestry"	
<http://purl.obolibrary.org/obo/HANCESTRO_0401>	<http://www.w3.org/2000/01/rdf-schema#label>	"British Virgin Islander"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0640>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bantu Herero in Botswana Or Namibia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0409>	<http://www.w3.org/2000/01/rdf-schema#label>	"French Guianese"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0863>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chicano"	
<http://purl.obolibrary.org/obo/HANCESTRO_0648>	<http://www.w3.org/2000/01/rdf-schema#label>	"Khomani San in South Africa (SGDP)"	
<http://dbpedia.org/resource/North_Korea>	<http://www.w3.org/2000/01/rdf-schema#label>	"North Korea"	
<http://dbpedia.org/resource/Costa_Rica>	<http://www.w3.org/2000/01/rdf-schema#label>	"Costa Rica"@en	
<http://dbpedia.org/resource/Cyprus>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cyprus"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0810>	<http://www.w3.org/2000/01/rdf-schema#label>	"Armenian in Armenia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0706>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hazara in Pakistan (HGDP)"	
<http://dbpedia.org/resource/Bolivia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bolivia"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0027>	<http://www.w3.org/2000/01/rdf-schema#label>	"Han Chinese"	
<http://purl.obolibrary.org/obo/HANCESTRO_0632>	<http://www.w3.org/2000/01/rdf-schema#label>	"reference population"	
<http://purl.obolibrary.org/obo/HANCESTRO_0486>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bhutanese"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0752>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chinese Dai in Xishuangbanna, China (1KGP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0656>	<http://www.w3.org/2000/01/rdf-schema#label>	"Saharawi in Western Sahara (Morocco) (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0425>	<http://www.w3.org/2000/01/rdf-schema#label>	"Surinamese"@en	
<http://dbpedia.org/resource/Christmas_Island>	<http://www.w3.org/2000/01/rdf-schema#label>	"Christmas Island"	
<http://purl.obolibrary.org/obo/HANCESTRO_0013>	<http://www.w3.org/2000/01/rdf-schema#label>	"Indigenous American"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0478>	<http://www.w3.org/2000/01/rdf-schema#label>	"Samoan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0521>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ugandan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0390>	<http://www.w3.org/2000/01/rdf-schema#label>	"Slovak"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0529>	<http://www.w3.org/2000/01/rdf-schema#label>	"Congolese"@en	
<http://dbpedia.org/resource/Namibia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Namibia"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0730>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ami in Taiwan (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0826>	<http://www.w3.org/2000/01/rdf-schema#label>	"Icelandic in Iceland (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0389>	<http://www.w3.org/2000/01/rdf-schema#label>	"Serb"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0494>	<http://www.w3.org/2000/01/rdf-schema#label>	"Indonesian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0043>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Western Asia"	
<http://dbpedia.org/resource/Haiti>	<http://www.w3.org/2000/01/rdf-schema#label>	"Haiti"@en	
<http://dbpedia.org/resource/Egypt>	<http://www.w3.org/2000/01/rdf-schema#label>	"Egypt"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0403>	<http://www.w3.org/2000/01/rdf-schema#label>	"Colombian"@en	
<http://dbpedia.org/resource/Venezuela>	<http://www.w3.org/2000/01/rdf-schema#label>	"Venezuela"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0438>	<http://www.w3.org/2000/01/rdf-schema#label>	"Iranian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0534>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gabonese"@en	
<http://dbpedia.org/resource/British_Virgin_Islands>	<http://www.w3.org/2000/01/rdf-schema#label>	"British Virgin Islands"@en	
<http://dbpedia.org/resource/Tajikistan>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tajikistan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0839>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sardinian in Italy (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0416>	<http://www.w3.org/2000/01/rdf-schema#label>	"Montserratian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0512>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mahoran"@en	
<http://dbpedia.org/resource/Montenegro>	<http://www.w3.org/2000/01/rdf-schema#label>	"Montenegro"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0743>	<http://www.w3.org/2000/01/rdf-schema#label>	"Naxi in China (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0550>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zimbabweian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0558>	<http://www.w3.org/2000/01/rdf-schema#label>	"French Canadian founder"	
<http://purl.obolibrary.org/obo/HANCESTRO_0789>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hazara in Pakistan (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0773>	<http://www.w3.org/2000/01/rdf-schema#label>	"Palestinian in Central, Israel (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0042>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete South-Eastern Asia"	
<http://dbpedia.org/resource/Guyana>	<http://www.w3.org/2000/01/rdf-schema#label>	"Guyana"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0542>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mozambican"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0767>	<http://www.w3.org/2000/01/rdf-schema#label>	"Finnish in Finland (1KGP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0847>	<http://www.w3.org/2000/01/rdf-schema#label>	"Asian"	
<http://purl.obolibrary.org/obo/HANCESTRO_0034>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Northern America"	
<http://purl.obolibrary.org/obo/HANCESTRO_0311>	<http://www.w3.org/2000/01/rdf-schema#label>	"Friuli Venezia Giulia"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0319>	<http://www.w3.org/2000/01/rdf-schema#label>	"Korčulan"@en	
<http://dbpedia.org/resource/Aruba>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aruba"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0536>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ghanaian"@en	
<http://dbpedia.org/resource/China>	<http://www.w3.org/2000/01/rdf-schema#label>	"China"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0050>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Central America"	
<http://purl.obolibrary.org/obo/HANCESTRO_0332>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Sahrawi"@en	
<http://dbpedia.org/resource/Albania>	<http://www.w3.org/2000/01/rdf-schema#label>	"Albania"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0555>	<http://www.w3.org/2000/01/rdf-schema#label>	"Arab Israeli founder"	
<http://purl.obolibrary.org/obo/HANCESTRO_0786>	<http://www.w3.org/2000/01/rdf-schema#label>	"Brahmin in India (SGDP)"	
<http://dbpedia.org/resource/Cambodia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cambodia"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0772>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mozabite in Mzab, Algeria (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0324>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ashkenazi Jew"	
<http://purl.obolibrary.org/obo/HANCESTRO_0541>	<http://www.w3.org/2000/01/rdf-schema#label>	"Malian"@en	
<http://dbpedia.org/resource/Japan>	<http://www.w3.org/2000/01/rdf-schema#label>	"Japan"@en	
<http://dbpedia.org/resource/Cook_Islands>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cook Islands"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0549>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zambian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0711>	<http://www.w3.org/2000/01/rdf-schema#label>	"Uygur in China (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0310>	<http://www.w3.org/2000/01/rdf-schema#label>	"Val Borbera"@en	
<http://dbpedia.org/resource/Bangladesh>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bangladesh"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0318>	<http://www.w3.org/2000/01/rdf-schema#label>	"Orcadian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0422>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kittitian or Nevisian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0653>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mbuti in Congo (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0571>	<http://www.w3.org/2000/01/rdf-schema#label>	"Plains Indians"	
<http://dbpedia.org/resource/Fiji>	<http://www.w3.org/2000/01/rdf-schema#label>	"Fiji"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0579>	<http://www.w3.org/2000/01/rdf-schema#label>	"Jingpo Chinese"	
<http://dbpedia.org/resource/Dominica>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dominica"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0727>	<http://www.w3.org/2000/01/rdf-schema#label>	"Xibo in China (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0340>	<http://www.w3.org/2000/01/rdf-schema#label>	"Uzbekistani"@en	
<http://dbpedia.org/resource/Swaziland>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Swaziland"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0348>	<http://www.w3.org/2000/01/rdf-schema#label>	"Belarusian"@en	
<http://dbpedia.org/resource/Djibouti>	<http://www.w3.org/2000/01/rdf-schema#label>	"Djibouti"@en	
<http://dbpedia.org/resource/Rwanda>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rwanda"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0820>	<http://www.w3.org/2000/01/rdf-schema#label>	"Estonian in Estonia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0724>	<http://www.w3.org/2000/01/rdf-schema#label>	"She in China (HGDP)"	
<http://dbpedia.org/resource/Qatar>	<http://www.w3.org/2000/01/rdf-schema#label>	"Qatar"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0048>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Caribbean"	
<http://purl.obolibrary.org/obo/HANCESTRO_0584>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sri Lankan Sinhalese"	
<http://purl.obolibrary.org/obo/HANCESTRO_0666>	<http://www.w3.org/2000/01/rdf-schema#label>	"Luhya in Webuye, Kenya (1KGP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0858>	<http://www.w3.org/2000/01/rdf-schema#label>	"Arab-American"	
<http://dbpedia.org/resource/Republic_of_Macedonia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Republic of Macedonia"	
<http://purl.obolibrary.org/obo/HANCESTRO_0435>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cypriote"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0353>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bulgarian"@en	
<http://dbpedia.org/resource/Angola>	<http://www.w3.org/2000/01/rdf-schema#label>	"Angola"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0570>	<http://www.w3.org/2000/01/rdf-schema#label>	"Akimel O'odham"	
<http://purl.obolibrary.org/obo/HANCESTRO_0465>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cook Islander"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0509>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Malagasy"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0682>	<http://www.w3.org/2000/01/rdf-schema#label>	"Surui in Brazil (SGDP)"	
<http://dbpedia.org/resource/Israel>	<http://www.w3.org/2000/01/rdf-schema#label>	"Israel"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0793>	<http://www.w3.org/2000/01/rdf-schema#label>	"Khonda Dora in India (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0627>	<http://www.w3.org/2000/01/rdf-schema#label>	"Guaraní"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0844>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yemenite Jew in Yemen (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0451>	<http://www.w3.org/2000/01/rdf-schema#label>	"Turkish"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0459>	<http://www.w3.org/2000/01/rdf-schema#label>	"Northern Mariana Islander"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0674>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chane in Argentina (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0613>	<http://www.w3.org/2000/01/rdf-schema#label>	"Otomi"@en	
<http://dbpedia.org/resource/Pakistan>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pakistan"@en	
<http://purl.obolibrary.org/obo/NCIT_C25464>	<http://www.w3.org/2000/01/rdf-schema#label>	"Country"	
<http://dbpedia.org/resource/Guatemala>	<http://www.w3.org/2000/01/rdf-schema#label>	"Guatemala"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0443>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lebanese"@en	
<http://dbpedia.org/resource/New_Zealand>	<http://www.w3.org/2000/01/rdf-schema#label>	"New Zealand"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0660>	<http://www.w3.org/2000/01/rdf-schema#label>	"African Caribbean in Barbados (1KGP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0857>	<http://www.w3.org/2000/01/rdf-schema#label>	"Persian"	
<http://purl.obolibrary.org/obo/HANCESTRO_0464>	<http://www.w3.org/2000/01/rdf-schema#label>	"American Samoan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0695>	<http://www.w3.org/2000/01/rdf-schema#label>	"Itelman in Russia (SGDP)"	
<http://dbpedia.org/resource/Kyrgyzstan>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kyrgyzstan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0687>	<http://www.w3.org/2000/01/rdf-schema#label>	"Puerto Rican in Puerto Rico (1KGP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0626>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mapuche"@en	
